Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFAPPL-01-IPAD7=5-912FACCA94BAF436C2E6F513D3D2D318E29DD191F24EB68957A2723B5CCB276B,SE,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,80.217.159.253,Stockholm,2021-10-05T22:35:14.855Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.91.181,Capital Region,2021-10-05T21:27:00.651Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.86.41,Zealand,2021-10-05T21:04:55.168Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-22589-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.82.37,Capital Region,2021-10-04T18:56:17.405Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.50,Capital Region,2021-10-04T18:41:18.940Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.86.41,Zealand,2021-10-03T21:33:36.814Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.85.181,Capital Region,2021-10-03T21:03:39.224Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.93.177,Capital Region,2021-10-02T22:02:00.914Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-22589-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.93.177,Capital Region,2021-10-02T20:26:35.942Z
LGTV20144=41013644384,NL,LG 2014 Mstar UHD TV,LG 2014 Mstar UHD TV,83.86.85.88,South Holland,2021-10-02T16:28:32.869Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-22589-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.92.173,Northern Denmark,2021-10-01T11:14:46.025Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.86.41,Zealand,2021-09-29T23:06:26.686Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.86.41,Zealand,2021-09-29T15:34:52.096Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-22589-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.86.41,Zealand,2021-09-29T12:15:47.919Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.50,Capital Region,2021-09-25T13:57:56.627Z
NFCDCH-MC-HEVV1WHR2DV9XAQAKC6Q6UR7E32UV8,ES,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,85.155.192.66,Las Palmas,2021-09-23T21:22:27.963Z
NFAPPL-02-IPHONE10=4-602E1E368D54E71203733D1F44CA71128D5E29E1EA25A757B4643A2096C818E5,NL,Apple iPhone 8 (GSM),Apple iPhone 8 (GSM),83.86.85.88,South Holland,2021-09-23T19:25:57.609Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-22589-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,ES,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,85.155.192.66,Las Palmas,2021-09-22T23:50:14.880Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-22589-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.85.157,Zealand,2021-09-22T23:48:43.924Z
